,OBJECTID,Location,BureauID,Date_,TotalKille,CiviliansK,ChildrenKi,Summary,Latitude,Longitude,Killed,Year
15,16,Damadola,B16,2008-05-14,12-15,0,3,"Failed attack on al Qaeda expert kills up to 15, including three children. Damadola, Bajaur.",34.8154945317,71.496963501,12,2008
16,17,Makeen,B17,2008-06-14,1,0,0,"One killed in strike on Makeen, South Waziristan.",32.6278098905,69.8428344727,1,2008
17,18,Zeralita,B18,2008-07-28,7-12,0,3,"Four named al Qaeda reported killed, along with a woman, three boys and up to seven others. Zeralita, South Waziristan.",32.2865521531,69.432220459,7,2008
18,19,Bhaggar,B19,2008-08-12,13-25,5,0,"Up to 25 killed, including two named Taliban. Women and children reported among casualties. Bhagar, South Waziristan.",32.3028041739,69.3251037598,13,2008
19,20,Zari Noor,B20,2008-08-20,8-12,0,0,"Up to twelve killed in attack on alleged militant house. Zari Noor, South Waziristan.",32.2975806279,69.6006202698,8,2008
20,21,Ganki Khel,B21,2008-08-27,0,0,0,"Attack injures four. Ganki Khel, South Waziristan.",32.1723754,69.33147601,0,2008
21,22,Korzai,B22,2008-08-30,5,0,0,"Five killed including two Arab-Canadians. Korzai, South Waziristan.",32.3219546002,69.5207977295,5,2008
22,23,Miram Shah,B23,2008-08-30,6,2,0,"Woman and child killed along with four suspected militants, including two â€˜commandersâ€™. Ghundi, North Waziristan.",33.0020413985,70.0608444214,6,2008
23,24,Unknown,B24,2008-09-02,4-10,0,0,Attack in unknown location kills 4-10 â€˜al Qaedaâ€™.,32.9867798934,70.2608299255,4,2008
24,25,Mohammad Khel,B25,2008-09-04,5-7,0,0,"Named al Qaeda militant killed along with 4-6 others. Momadkhel, North Waziristan.",32.9971464863,69.7264480591,5,2008
25,26,Gurwak,B26,2008-09-05,7-12,7,4,"Three women and four children killed in attack on two houses in Miranshah, North Waziristan. Five â€˜militantsâ€™ also reported killed by some sources. Gurwak, North Waziristan.",33.0386006781,69.5393371582,7,2008
26,27,Miram Shah,B27,2008-09-08,23,0,8,"At least 14 civilians, mostly girls, killed with nine others including four named militants. Danda Darpakhel, North Waziristan.",33.0020413985,70.0608444214,23,2008
27,28,Tol Khel,B28,2008-09-12,12-15,0,0,"12-15 alleged militants killed in Tol Khel, North Waziristan.",33.0021133805,70.0756072998,12,2008
28,29,Baghar Cheena,B29,2008-09-17,4-7,0,0,"4-7 killed including possible named al Qaeda. Baghar Cheena, South Waziristan.",32.5033919814,69.2845916748,4,2008
29,30,Khushali,B30,2008-09-30,4-8,0,0,"4-8 killed, 9 injured in attack on Toorikhel, North Waziristan.",32.9686354261,70.353012085,4,2008
30,31,Datta Khel,B31,2008-10-03,3,3,1,"Two women and a child killed in a strike on two houses in Datta Khel, North Waziristan.",33.1772151478,70.4367828369,3,2008
31,32,Datta Khel,B32,2008-10-03,16-21,0,3,"16-21 killed including a woman and three children. Datta Khel, North Waziristan.",33.1772151478,70.4367828369,16,2008
32,33,Tati,B33,2008-10-09,9,0,0,"Five women and children killed alongside four 'Arabs'. Miram Shah, North Waziristan.",32.9942669993,70.1653862,9,2008
33,34,Miram Shah,B34,2008-10-11,5,0,0,"The house of Rahmat Jahan is attacked killing five and wounding two. Miram Shah, North Waziristan.",33.0020413985,70.0608444214,5,2008
34,35,Taparghai,B35,2008-10-16,5-9,4,0,"Named al Qaeda leader killed along with 4 militants and 4 civilians. Tapargai, South Waziristan.",32.5413143166,69.8527908325,5,2008
35,36,Danda Darpakhel,B36,2008-10-23,10,0,0,"10 killed, possibly including children, in attack on Danda Darpakhel, North Waziristan.",33.0201789992,70.0728607178,10,2008
36,37,Mandata,B37,2008-10-26,15-20,0,0,"Failed strike on Haji Omar kills 20, including at least 4 civilians. Mandata, South Waziristan.",32.551009443,69.6078300476,15,2008
37,38,Asori,B38,2008-10-31,4-24,0,0,"Between 4-24 killed, possibly including civilians, in failed attack on al Qaeda targets. Mir Ali, North Waziristan.",32.9758360577,70.2690696716,4,2008
38,39,Kari Kot,B39,2008-10-31,4-12,0,0,"Up to 12 killed and named Taliban leader wounded in strike on Kari Kot, Wana, South Waziristan.",32.3176025861,69.500541687,4,2008
39,40,Kumsham,B40,2008-11-07,11-14,6,0,"Up to 14 killed, including â€˜Westerners and US citizensâ€™. Kumsham, Miramshah, North Waziristan.",32.743969952,70.0673675537,11,2008
40,41,Garyom,B41,2008-11-14,11-13,0,0,"11-13 killed including at least three civilians. Garyom, North Waziristan.",32.7028111007,69.8687553406,11,2008
41,42,Jani Khel,B42,2008-11-19,4-6,0,0,"Named al Qaeda operative killed with up to five others in attack outside FATA which causes uproar.  Jani Khel, Bannu.",32.8028590161,70.486907959,4,2008
42,43,Ali Khel,B43,2008-11-22,4-6,0,0,"Two named militants and up to four others killed in Ali Khel, Miranshah, North Waziristan.",32.9801561549,70.0653076172,4,2008
43,44,Wana,B44,2008-11-27,5,0,0,"Possible drone strike destroys vehicle killing five alleged Pakistan Taliban.  Wana, South Waziristan.",32.3051256533,69.5762443542,5,2008
44,45,Chashma,B45,2008-11-29,3,0,0,"Two or three killed, possibly all civilians. Chashma, Miranshah, North Waziristan.",32.9864919151,70.046081543,3,2008
45,46,Kateera,B46,2008-12-05,3-4,0,0,"3-4 alleged Taliban killed in Kateera, Mir Ali, North Waziristan.",32.59125977,70.15396057,3,2008
46,47,Azam Warsak,B47,2008-12-11,7,0,0,"Seven killed, either some â€˜foreignersâ€™ or all civilians, Azam Warzak, South Waziristan.",32.3022237948,69.4054412842,7,2008
47,48,Tapi Tool,B48,2008-12-15,2,0,0,"2 killed in  Tapi Tool, Miran Shah, North Waziristan.",32.9795801542,70.0859069824,2,2008
48,49,Kari Kot,B49,2008-12-22,3,0,0,"3 killed in attack on truck in Kari Kot, Wana, South Waziristan.",32.3176025861,69.500541687,3,2008
49,50,Shin Warsak,B50,2008-12-22,4,0,0,"4 killed in attack on truck in Shin Warzak, Wana, South Waziristan.",32.2933725524,69.4972801208,4,2008
50,51,Kari Kot,B51,2009-01-01,5,0,0,"2 named al Qaeda and 3 others killed in strike on vehicle, Kari Kot, Wana, South Waziristan.",32.3176025861,69.500541687,5,2009
51,52,Madin Village,B52,2009-01-02,4,0,0,"4 killed in last strike of Bush presidency.  Madin, South Waziristan.",32.539867193,69.8819732666,4,2009
52,53,Zharki,Ob1,2009-01-23,7-12,0,1,"7 civilians and 4 or more militants reported killed in strike on house in Zharki, Mir Ali,North Waziristan.",32.9534041566,70.2622461319,7,2009
53,54,Ganki Khel,Ob2,2009-01-23,5-8,0,3,"8 members of a family killed including 4 children in strike on wrong house in Dilfar, Wana, South Waziristan.",32.1723754,69.33147601,5,2009
54,55,Narsi Khel,Ob3,2009-02-14,26-35,9,1,"26-35 alleged militants and 8-year old boy killed in strike on house and madrassa in Zangari, South Waziristan.",32.5161310392,69.8651504517,26,2009
55,56,Sur Pul,Ob4,2009-02-16,31,7,0,"31 killed, reportedly 7 of them civilians, in strike on camp in Sarpal, Kurram Agency",33.6803540332,70.2936172485,31,2009
56,57,Sararogha,Ob5,2009-03-01,12,0,0,"12 killed in attack on alleged TTP facility in Sararogha, Wana, South Waziristan.",32.4889135885,70.002822876,12,2009
57,58,Barjo,Ob6,2009-03-12,14-25,0,0,"14-25 killed and 41 injured in attack on TTP camp in Barjo, Kurram Agency.",33.8019735181,70.2802276611,14,2009
58,59,Jani Khel,Ob7,2009-03-15,4-5,0,0,"4-5 alleged militants killed in Sain Tanga, Janni Khel, Bannu.",32.8028590161,70.486907959,4,2009
59,60,Makeen,Ob8,2009-03-25,7-8,0,0,"7-8 alleged militants killed in attack on cars and house in Maken, South Waziristan.",32.6278098905,69.8428344727,7,2009
60,61,Sokhel,Ob9,2009-03-26,4-5,0,0,"4-5 militants or civilians killed in strike on house in Sokhel, Mir Ali, North Waziristan.",32.9666191441,70.3174781799,4,2009
61,62,Khadezai,Ob10,2009-04-01,12-14,0,3,"Women and children among 12-14 killed in strike on house in Khadezai, Orakzai Agency.",33.669925567,70.9110832214,12,2009
62,63,Datta Khel,Ob11,2009-04-04,13,0,4,"At least 7 civilians, and possibly all, of 13 killed in strike on house. Dattakhel, Miramshah, North Waziristan.",33.1772151478,70.4367828369,13,2009
63,64,Ganki Khel,Ob12,2009-04-08,4,0,0,"4 alleged militants killed and 5 civilians injured in strike on car and shops, Gangi Khel, Wana, South Waziristan.",32.1723754,69.33147601,4,2009
64,65,Ganki Khel,Ob13,2009-04-19,8,8,0,"8 civilians including children killed in Gangi Khel, Wana, South Waziristan.",32.1723754,69.33147601,8,2009
65,66,Kaniguram,Ob14,2009-04-29,6-10,0,0,"Named al Qaeda leader and 5-9 others, possibly civilians, killed in Kaniguram, Wana, South Waziristan.",32.5169995456,69.7832679749,6,2009
66,67,Tabbi Langhar Khel,Ob15,2009-05-09,9-25,0,0,"9-25 killed, possibly some civilians, in strike in Tabbi Langhar Khel, South Waziristan.",32.477763638,70.0198173523,9,2009
67,68,Sara Khwara,Ob16,2009-05-12,9,0,0,"9 alleged militants killed in attack on compound in Sara Khwara, South Waziristan.",32.2978708328,69.3460464478,9,2009
68,69,Khesoor,Ob17,2009-05-16,25-40,9,0,"Up to 40 alleged militants killed in strike on house and rescuers in Kaisore, Miram Shah, North Waziristan.",33.0034810269,70.2725028992,25,2009
69,70,Marda Algad,Ob18,2009-06-14,3-5,0,0,3-5 alleged militants killed in strike on truck in Ladha South Waziristan.,32.5156967828,69.8816299438,3,2009
70,71,Wana,Ob19,2009-06-18,12-13,4,0,"12-13 killed, including 10 rescuers, in double strike in Shah Alam, Wana, South Waziristan.",32.3051256533,69.5762443542,12,2009
71,72,Raghzai,Ob20,2009-06-18,Unknown,0,0,"Strike with unknown casualty figures in Raghzai area, near Wana, South Waziristan.",32.3273217962,69.5678329468,0,2009
72,73,Makeen,Ob21,2009-06-23,6,0,0,"Named TTP commander among 7 killed in strike on Makeen, South Waziristan",32.6278098905,69.8428344727,6,2009
73,74,Miram Shah,Ob22,2009-06-23,67-83,0,10,"67-83 killed (including 18-45 civilians) in strike on funeral in Makeen, South Waziristan.",33.0020413985,70.0608444214,67,2009
74,75,Mantoi,Ob23,2009-07-03,0-5,0,0,"An attack on a closed madrassa â€˜occasionally used by the TTPâ€™ killed either three, five or no people. Mantoi, South Waziristan.",32.5922382041,69.6152114868,0,2009
75,76,Zamarai Nairai,Ob24,2009-07-03,13-17,0,0,"13-17 alleged militants killed and 27-35 injured in strike on compound in Kokat Khel, South Waziristan.",32.287422871,69.9921798706,13,2009
76,77,Makeen,Ob25,2009-07-07,16,0,0,"16 alleged militants killed in strike on compound in Jangara, Makeen, South Waziristan.",32.6278098905,69.8428344727,16,2009
77,78,Ladha,Ob26,2009-07-08,8-10,0,0,"8-10 alleged TTP militants killed in strike on camp in Laddha, Karwan Manza South Waziristan.",32.5256841478,69.8503875732,8,2009
78,79,Ladha,Ob27,2009-07-08,35-40,0,0,"35-40 alleged militants killed when convoy destroyed in  Laddha, Karwan Manza, South Waziristan.",32.5256841478,69.8503875732,35,2009
79,80,Painda Khel,Ob28,2009-07-10,3-5,0,0,"3-5 alleged militants killed in strike on â€˜communications centreâ€™ in Painda, South Waziristan.",32.3158617219,69.6210479736,3,2009
80,81,Gariwam,Ob29,2009-07-17,5-6,0,0,"5-6 alleged TTP militants killed in strike on house in Gariwam, North Waziristan.",32.700355411,70.0608444214,5,2009
81,82,Ladha,Ob30,2009-08-05,2-12,0,0,"Named TTP leader dies with 11 others, including civilians, in strike on Zanghara, South Waziristan.",32.5256841478,69.8503875732,2,2009
82,83,Ladha,Ob31,2009-08-11,14-25,0,4,"14-25 killed in strike on â€˜Taliban suicide bomber training campâ€™ in  Saam, near Ladha, South Waziristan.",32.5256841478,69.8503875732,14,2009
83,84,Danda Darpakhel,Ob32,2009-08-21,21,0,6,"At least 9 civilians including 6 children among 21 killed in strike on houses and madrassa in Danda Darpakhel, North Waziristan.",33.0201789992,70.0728607178,21,2009
84,85,Taparghai,Ob33,2009-08-27,8,0,0,"Named militant leader killed with 7 others in strike on house in Tapar Ghai, Kanigram, South Waziristan.",32.5413143166,69.8527908325,8,2009
85,86,Machi Khel,Ob34,2009-09-07,5-8,3,0,"3 civilians among 13-15 killed in failed strike on senior al Qaeda leader, Machi Khel, Mir Ali, North Waziristan.",32.9962826501,70.308380127,5,2009
86,87,Darga Mandi,Ob35,2009-09-08,10-15,5,3,"10-15 killed including 5 civilians in strike on house in Dargmandi, Miram Shah, North Waziristan.",33.0469467336,70.0203323364,10,2009
87,88,Toorikhel,Ob36,2009-09-14,5,0,0,"5 killed including named militant leader in strike on vehicle in  Toori Khel, North Waziristan.",32.9867798934,70.2608299255,5,2009
88,89,Mir Ali,Ob37,2009-09-24,10-12,0,0,"Strike kills 10-12, possibly including civilians, in Mir Ali, North Waziristan.",32.9582654853,70.2410888672,10,2009
89,90,Sararogha,Ob38,2009-09-29,6,0,0,"6 alleged militants killed in strike on house in Sararogha, South Waziristan.",32.4889135885,70.002822876,6,2009
90,91,Danda Darpakhel,Ob39,2009-09-29,7,0,0,"7 alleged Haqqani militants killed in strike on house in Danda Darpakhel, North Waziristan.",33.0201789992,70.0728607178,7,2009
91,92,Norak,Ob40,2009-09-30,8-9,0,0,"8-9 alleged militants killed in strike on cars and house in Norak, Miransha, North Waziristan.",32.9887957151,70.3260612488,8,2009
92,93,Danda Darpakhel,Ob41,2009-10-15,4,0,0,"4 alleged militants killed in strike on house in Danda Darpakhel, North Waziristan.",33.0201789992,70.0728607178,4,2009
93,94,Spalaga,Ob42,2009-10-21,3,0,0,"Named al Qaeda militant and 2 others killed in strike in Spalaga, North Waziristan.",32.868630069,70.1411819458,3,2009
94,95,Damadola,Ob43,2009-10-24,22-27,0,0,"22-27 alleged militants killed in strike on compound in Damadola, Bajaur Agency.",34.8154945317,71.496963501,22,2009
95,96,Norak,Ob44,2009-11-05,4-6,0,0,"4-6 alleged militants killed in strike on house in Norak, Mir Ali, North Waziristan.",32.9887957151,70.3260612488,4,2009
96,97,Shanakorah,Ob45,2009-11-18,4-6,0,0,"4-6 alleged militants killed in strike on house in Shanakhora, Miranshah, North Waziristan.",33.0112546142,69.8316764832,4,2009
97,98,Machi Khel,Ob46,2009-11-20,3-10,3,1,"8-10 alleged militants killed in strike on â€˜training compoundâ€™ in Machi Khel, North Waziristan.",32.9962826501,70.308380127,3,2009
98,99,Spalaga,Ob47,2009-12-08,4,0,0,"Named al Qaeda leader among 4 killed in strike on car in Miran Shah, North Waziristan.",32.868630069,70.1411819458,4,2009
99,100,Ladha,Ob48,2009-12-10,6,0,0,"6 alleged militants killed in strike on â€˜hide-outâ€™ in Laddha, South Waziristan.",32.5256841478,69.8503875732,6,2009
100,101,Datta Khel,Ob49,2009-12-17,2,0,0,"2 alleged militants killed in car in Gadda Maramay, Datta Khel, North Waziristan.",33.1772151478,70.4367828369,2,2009
101,102,Ambar Shaga,Ob50,2009-12-17,12-16,6,0,"2 named al Qaeda commanders among 13-15 alleged militants killed in Amboor Shagal, North Waziristan.",33.0014655406,69.5283508301,12,2009
102,103,Babrak Ziarat,Ob51,2009-12-18,5-8,5,0,"3-8 killed at funeral prayers for victims of Ob49, Wazgai, Datta Khel, North Waziristan.",32.9821721279,69.7388076782,5,2009
103,104,Saidgai,Ob52,2009-12-26,14-20,6,0,"14 Taliban killed and 12 injured in strike on house in Saigdai, North Waziristan.",33.0949931078,70.0591278076,14,2009
104,105,Machi Khel,Ob53,2009-12-31,7,3,1,"7 killed including 3 civilians and a named militant leader in Mir Ali, North Waziristan.",32.9962826501,70.308380127,7,2009
105,106,Ghundikala,Ob54,2010-01-01,3,0,0,"3 alleged militants killed when car destroyed in Ghundikala, North Waziristan.",32.9929711995,70.2120780945,3,2010
106,107,Mosaki,Ob55,2010-01-03,5,0,1,"5 killed including 1-2 civilians, in attack on house and car in Mosaki, North Waziristan.",32.9998819119,70.3408241272,5,2010
107,108,Sanzali,Ob56,2010-01-06,5-7,0,0,"5-7 killed, possibly some civilians, in strike on house in Datta Khel, North Waziristan.",32.987499835,69.7563171387,5,2010
108,109,Sanzali,Ob57,2010-01-06,5-9,5,0,"Up to 9 rescuers killed in attack on house in Datta Khel, North Waziristan.",32.987499835,69.7563171387,5,2010
109,110,Tappi,Ob58,2010-01-08,5,5,0,"3-year old girl killed along with 5 suspected militants in attack on houses, Tappi, North Waziristan.",33.00175347,70.0141525269,5,2010
110,111,Ismail Khel,Ob59,2010-01-09,4-5,0,0,"Two named militants killed with 3 others in attack on house in Ismail Khel, North Waziristan.",32.9945549522,69.7338294983,4,2010
111,112,Shaktoi,Ob60,2010-01-09,15-18,0,0,"Failed attack on TTP leader kills up to 18 in Shaktoi, North Waziristan.",32.6653906192,70.1614379883,15,2010
112,113,Zanani,Ob61,2010-01-15,5,0,0,"5 alleged militants killed in attack on house in Zanani, North Waziristan.",32.9355049609,70.2958488464,5,2010
113,114,Shaktoi,Ob62,2010-01-15,6,0,0,"Named TTP commander among 5 killed in Shaktoi, North Waziristan.",32.6653906192,70.1614379883,6,2010
114,115,Shaktoi,Ob63,2010-01-17,At least 20,0,0,"4 named TTP commanders among at least 20 killed in attack on house in Shaktoi, North Waziristan.",32.6653906192,70.1614379883,20,2010
115,116,Deegan,Ob64,2010-01-19,5-6,0,0,"6 alleged militants killed in strike on house and car in Deegan, North Waziristan.",32.9686354261,69.7020721436,5,2010
116,117,Mohammad Khel,Ob65,2010-01-29,9-15,0,0,"Up to 15 alleged militants killed in strike on compound in Muhammad Khel, North Waziristan.",32.9971464863,69.7264480591,9,2010
117,118,Deegan,Ob66,2010-02-02,Estimated 23 (possibly spread amongst Ob66-68),0,0,"Drone swarm attacks compound killing up to 23 alleged militants. Daigan, Datta Khel area, North Waziristan.",32.9686354261,69.7020721436,23,2010
118,119,Mohammad Khel,Ob67,2010-02-02,Unknown,0,0,"Drones strike locals firing on them. Casualties unknown. Muhammad Khel, North Waziristan.",32.9971464863,69.7264480591,0,2010
119,120,Pai Khel,Ob68,2010-02-02,9,5,0,"6 reported civilians killed as they drive to sites of previous attacks. Pai Khel, North Waziristan.",32.977564122,69.6416473389,9,2010
120,121,Toor Narai,Ob69,2010-02-02,Unknown,0,0,"Attack on village, casualties unknown. Toor Narai, North Waziristan.",32.9741079597,69.7262763977,0,2010
121,122,Mir Ali,Ob70,2010-02-14,7,0,0,"7 alleged militants killed in strike on house and car in Mir Ali, North Waziristan.",32.9582654853,70.2410888672,7,2010
122,123,Tappi,Ob71,2010-02-15,4-5,0,0,"Named militant among up to 5 killed in attack on car in Tappi, North Waziristan.",33.00175347,70.0141525269,4,2010
123,124,Tabbi,Ob72,2010-02-17,4,0,0,"Named al Qaeda operative among 4 killed in strike on guesthouse in  Tapi Khel, North Waziristan.",32.9997379442,70.1902770996,4,2010
124,125,Danda Darpakhel,Ob73,2010-02-18,4-5,0,0,"3 named militants among up to 5 killed in vehicle in Danda Darpakhel, North Waziristan.",33.0201789992,70.0728607178,4,2010
125,126,Darga Mandi,Ob74,2010-02-24,8-13,5,1,"5 civilians, including small child, among up to 13 killed in attack on house and car in Dargi Mandi. North Waziristan.",33.0469467336,70.0203323364,8,2010
126,127,Miram Shah,Ob75,2010-03-08,9,0,0,"Nine al Qaeda, including named leader, killed in strike on hotel in Miranshah, North Waziristan.",33.0020413985,70.0608444214,9,2010
127,128,Mizar Madakhel,Ob76,2010-03-10,8,0,0,"8 killed in strike on house and car in Madakhel, North Waziristan.",32.9936910906,69.6164131165,8,2010
128,129,Mizar Madakhel,Ob77,2010-03-10,6,4,0,"7 rescuers killed as they try to retrieve dead and injured, Datta Khel, North Waziristan.",32.9936910906,69.6164131165,6,2010
129,130,Datta Khel,Ob78,2010-03-16,10-11,0,0,"Up to 11 killed including 8 al Qaeda in Datta Khel, North Waziristan.",33.1772151478,70.4367828369,10,2010
130,131,Hamzoni,Ob79,2010-03-17,5,0,0,"5 alleged militants killed after two cars attacked in Hamzoni, North Waziristan.",33.0066481267,69.9430847168,5,2010
131,132,Mizar Madakhel,Ob80,2010-03-17,5,0,0,"5 alleged militants killed in strike on car in Mada Khel, North Waziristan.",32.9936910906,69.6164131165,5,2010
132,133,Inzar,Ob81,2010-03-21,5-8,0,0,"5-8 alleged militants killed in Lowari Mandi, North Waziristan.",32.9952748304,69.6818161011,5,2010
133,134,Machis,Ob82,2010-03-23,6,0,0,"6 alleged militants killed in strike on car and house in Machis, North Waziristan.",32.9807321519,70.0532913208,6,2010
134,135,Hurmuz,Ob83,2010-03-27,4,0,0,"4 alleged militants killed in attack on houses in Hurmaz, North Waziristan.",32.9684554028,70.2527189255,4,2010
135,136,Tappi,Ob84,2010-03-31,5-6,0,1,"5 members of a family among up to 6 civilians killed in strike on ex-school in Tappi, North Waziristan.",33.00175347,70.0141525269,5,2010
136,137,Boya,Ob85,2010-04-12,13,0,0,"Between 8 and 13 civilians (and possibly 5 militants) reported killed in Boya, North Waziristan.",33.0213304669,69.825668335,13,2010
137,138,Ambar Shaga,Ob86,2010-04-14,4,0,0,"4 killed in car in Angar Shaga, North Waziristan.",33.0014655406,69.5283508301,4,2010
138,139,Toorikhel,Ob87,2010-04-16,3-4,0,0,"6 alleged militants and rescuers killed in attack in Toor Khel, North Waziristan.",32.9867798934,70.2608299255,3,2010
139,140,Machi Khel,Ob88,2010-04-24,7-9,0,0,"7-9 alleged militants killed in Machi Khel, North Waziristan.",32.9962826501,70.308380127,7,2010
140,141,Khushali,Ob89,2010-04-26,6-8,0,0,"6-8 killed in attack on Taliban commanderâ€™s home in Khushali Toorkhel, North Waziristan.",32.9686354261,70.353012085,6,2010
141,142,Machi Khel,Ob90,2010-05-03,6,0,0,"Named German militant among 6 dead, 2 possibly civilians in Mir Ali, North Waziristan.",32.9962826501,70.308380127,6,2010
142,143,Datta Khel,Ob91,2010-05-09,10,4,0,"10 killed including 4 reported civilians in attack on house in Datta Khel, North Waziristan.",33.1772151478,70.4367828369,10,2010
143,144,Datta Khel,Ob92,2010-05-11,13-14,0,0,"Villagers among 13-14 dead in attack on car and house in Doga, Datta Khel, North Waziristan.",33.1772151478,70.4367828369,13,2010
144,145,Gurwak,Ob93,2010-05-11,7-15,0,0,"7-15 alleged militants killed in attack on Gorwek, North Waziristan.",33.0386006781,69.5393371582,7,2010
145,146,Khyber,Ob94,2010-05-15,15,2,0,15 killed including 2 civilians in first known attack on Khyber Agency.,33.876401,70.8491134644,15,2010
146,147,Boya,Ob95,2010-05-21,10-12,6,4,"Al Qaedaâ€™s chief finance officer killed with nine others, 6 of them civilians, in Mohammad Khel, North Waziristan.",33.0213304669,69.825668335,10,2010
147,148,Mizai Nari,Ob96,2010-05-28,12,0,0,"12 killed including two named militants and possibly some civilians in Mizai Nara, South Waziristan.",32.289599629,69.2911148071,12,2010
148,149,Norak,Ob97,2010-06-10,7,4,0,"2 named militants among three killed in Khaddi or Norak, North Waziristan.",32.9887957151,70.3260612488,7,2010
149,150,Maizer,Ob98,2010-06-11,13-15,0,0,"13-15 killed including â€˜foreignersâ€™ in Datta Khel, North Waziristan.",32.9962826501,69.6561527252,13,2010
150,151,Haider Khel,Ob99,2010-06-19,16-17,0,0,"Named al Qaeda commander among 16-17 alleged militants killed in Soheel, Mir Ali, North Waziristan.",32.9700755994,70.3107833862,16,2010
151,152,Khushali,Ob100,2010-06-26,2-4,0,0,"2-4 killed in attack on house in Khushali Khel, North Waziristan.",32.9686354261,70.353012085,2,2010
152,153,Tabbi,Ob101,2010-06-27,6,0,0,"6 killed, including possible named Taliban commander, in Tappi Torkhel, North Waziristan.",32.9997379442,70.1902770996,6,2010
153,154,Kari Kot,Ob102,2010-06-29,7-10,0,0,"Named militant among 7-10 killed in attack on Karikot, South Waziristan.",32.3176025861,69.500541687,7,2010
154,155,Sheerani,Ob103,2010-07-15,10-14,0,0,"10-14 killed, including up to 7 civilians, in attack on house in Sheerani, North Waziristan",32.9942669993,69.7725391388,10,2010
155,156,Dwasarak,Ob104,2010-07-24,16-18,0,0,"16-18 alleged militants killed in attack on compound in Dwasarak, South Waziristan.",32.4492308542,69.2785835266,16,2010
156,157,Shaktoi,Ob105,2010-07-25,14,0,0,"14 alleged militants killed in Shaktoi, South Waziristan.",32.6653906192,70.1614379883,14,2010
157,158,Tabbi,Ob106,2010-07-25,4-7,0,0,"Attack kills 4-7 alleged Haqqani militants in Tabbi, North Waziristan.",32.9997379442,70.1902770996,4,2010
158,159,Sararogha,Ob107,2010-07-25,4,0,0,"4 alleged TTP militants killed in Landikhel, South Waziristan.",32.4889135885,70.002822876,4,2010
159,160,Issori,Ob108,2010-08-14,13,7,0,"Named Taliban commander killed with 12 others in strike on Issori, North Waziristan.",32.989227671,70.2980804443,13,2010
160,161,Qutab Khel,Ob109,2010-08-21,4-6,0,0,"6 killed, possibly civilians, in attack on car in Kutabkhel, North Waziristan.",32.9841880549,70.0766372681,4,2010
161,162,Danda Darpakhel,Ob110,2010-08-23,20,10,3,"20 killed including 10 civilians in strike that supposedly led to change in CIA tactics. Darga Mandi, North Waziristan.",33.0201789992,70.0728607178,20,2010
